,rewards
634,-1202.7595800972488
635,-1372.7304366795165
636,-1031.1611449963584
637,-1192.5544122068732
638,-1196.6973529908983
639,-1255.2843510396954
640,-1181.424783824634
641,-1206.1709323186456
642,-1189.3168198090768
643,-1221.9865942976958
644,-1250.6812464952845
645,-1215.2052427270155
646,-1208.1783322266992
647,-1264.3929113695915
648,-1162.2117240163645
649,-1281.382131731546
650,-1035.3423797796513
651,-1203.4855918108444
652,-1188.956652339971
653,-1279.9057700867256
654,-1228.5907314082845
655,-1215.7590240098482
656,-1291.1208364515871
657,-1118.1665599932662
658,-1223.318383483867
659,-1321.7683497103747
660,-1212.5305292061896
661,-1196.3824537673838
662,-1258.2105859984922
663,-1260.022601361923
664,-1185.631957778585
665,-1158.3796940402867
666,-913.6082877033275
667,-1278.8349803565186
668,-1261.9221434768579
669,-1130.9368009514421
670,-1207.938772354086
671,-1299.311756630993
672,-1027.6479938583657
673,-984.728982025387
674,-1241.3544695574974
675,-1241.4524518276526
676,-1344.7845998110663
677,-1332.0878360634313
678,-1274.4778978903876
679,-1340.48445502139
680,-1068.1110093469376
681,-1290.1245670136536
682,-1068.9391130130136
683,-1064.4058480135145
684,-1348.9993753846127
685,-1169.4591889794972
686,-1240.1935352920748
687,-1274.6479691111938
688,-1320.609228391045
689,-1290.931078940544
690,-1284.8224363109084
691,-1286.403838776987
692,-1258.5499714930029
693,-1047.5472881485416
694,-1202.2020229717568
695,-1325.2088052071279
696,-1207.376003980331
697,-1232.1793674326855
698,-1257.7182702769103
699,-1212.4329721255517
700,-1366.173383999745
701,-1259.7199163647897
702,-1164.3805468643147
703,-1257.8436131399233
704,-1179.2177618684307
705,-1224.6664749195454
706,-1327.4445812200265
707,-1238.214292156687
708,-1287.4577111433014
709,-1192.6651104008376
710,-1197.4581007531228
711,-1176.9781987970277
712,-1220.1412278470023
713,-1203.125724109541
714,-1170.0293089687275
715,-1335.5395957595197
716,-1274.4257697601004
717,-1294.1519299595009
718,-1218.1607318615195
719,-1216.4733767435005
720,-1162.9693958051162
721,-1254.8692552497098
722,-1095.1982090843032
723,-1280.7130981945736
724,-1233.4741963479196
725,-1170.7296189026504
726,-1341.5640005800035
727,-1227.6872646214188
728,-1181.4420480363497
