,rewards
839,161.0
840,151.0
841,171.0
842,166.0
843,216.0
844,170.0
845,180.0
846,141.0
847,181.0
848,172.0
849,147.0
850,175.0
851,163.0
852,203.0
853,170.0
854,181.0
855,142.0
856,178.0
857,139.0
858,160.0
859,165.0
860,184.0
861,141.0
862,150.0
863,162.0
864,184.0
865,235.0
866,157.0
867,174.0
868,218.0
869,175.0
870,164.0
871,229.0
872,202.0
873,156.0
874,147.0
875,178.0
876,169.0
877,151.0
878,368.0
879,177.0
880,183.0
881,189.0
882,173.0
883,335.0
884,169.0
885,173.0
886,157.0
887,219.0
888,187.0
889,165.0
890,209.0
891,142.0
892,142.0
893,169.0
894,177.0
895,167.0
896,184.0
897,190.0
898,183.0
899,165.0
900,250.0
901,210.0
902,145.0
903,163.0
904,194.0
905,190.0
906,206.0
907,163.0
908,142.0
909,155.0
910,173.0
911,210.0
912,151.0
913,185.0
914,148.0
915,233.0
916,271.0
917,142.0
918,171.0
919,165.0
920,193.0
921,268.0
922,182.0
923,191.0
924,163.0
925,168.0
926,197.0
927,149.0
928,163.0
929,184.0
930,218.0
931,148.0
932,148.0
933,139.0
934,193.0
935,172.0
936,177.0
937,163.0
938,139.0
939,142.0
940,183.0
941,134.0
942,135.0
943,144.0
944,187.0
945,183.0
946,179.0
947,171.0
948,141.0
949,139.0
950,180.0
951,167.0
952,176.0
953,189.0
954,169.0
955,204.0
956,186.0
957,151.0
958,187.0
959,148.0
960,160.0
961,152.0
962,170.0
963,184.0
964,156.0
965,165.0
966,161.0
967,178.0
968,171.0
969,163.0
970,176.0
971,145.0
972,138.0
973,172.0
974,151.0
975,150.0
976,145.0
977,150.0
978,134.0
979,152.0
980,157.0
981,190.0
982,125.0
983,180.0
984,174.0
985,167.0
986,208.0
987,174.0
988,184.0
989,149.0
990,139.0
991,134.0
992,91.0
993,156.0
994,155.0
995,164.0
996,139.0
997,151.0
998,147.0
999,172.0
1000,177.0
1001,169.0
1002,147.0
1003,166.0
1004,150.0
1005,157.0
1006,169.0
1007,163.0
1008,156.0
1009,173.0
1010,150.0
1011,157.0
1012,141.0
1013,187.0
1014,165.0
1015,190.0
1016,139.0
1017,167.0
1018,206.0
1019,189.0
1020,156.0
1021,212.0
1022,142.0
1023,166.0
1024,166.0
1025,206.0
1026,196.0
1027,153.0
1028,147.0
1029,170.0
1030,172.0
1031,150.0
1032,224.0
1033,161.0
1034,155.0
1035,154.0
1036,156.0
1037,128.0
1038,148.0
1039,127.0
1040,157.0
1041,140.0
1042,153.0
1043,186.0
1044,152.0
1045,151.0
1046,171.0
1047,163.0
1048,152.0
1049,146.0
1050,157.0
1051,159.0
1052,159.0
1053,170.0
1054,167.0
1055,160.0
1056,100.0
1057,151.0
1058,156.0
1059,121.0
1060,166.0
1061,98.0
1062,148.0
1063,154.0
1064,183.0
1065,175.0
1066,162.0
1067,169.0
1068,159.0
1069,148.0
1070,154.0
1071,143.0
1072,142.0
1073,107.0
1074,136.0
1075,163.0
1076,182.0
1077,187.0
1078,154.0
1079,166.0
1080,153.0
1081,147.0
1082,185.0
1083,127.0
1084,152.0
1085,163.0
1086,167.0
1087,133.0
1088,147.0
1089,157.0
1090,138.0
1091,166.0
1092,170.0
1093,209.0
1094,143.0
1095,187.0
1096,97.0
1097,148.0
1098,170.0
